Code,Name,Stock,Origin,Gender,Type,Size,Pairs per Bag,Price,Original Price,Total Discount,Color,Gender,Pairs per Bag,Pairs per Box,Supplier
764,AR Soft Kyar Nyat,0,,M,,10-May,,23000,,,,,,,
S16,Qsweet,4,,F,,36-40,,20000,,,,,,,
Super Star Par San Kyit Par,Super Star Par San Kyit Par,1,,F,,5_9,,7500,,,,,,,
Super Star CKwin Kyaut,Super Star CKwin Kyaut,1,,F,,5_9,,7500,,,,,,,
Gold Shine Kwin Kyaut,Gold Shine Kwin Kyaut,4,,F,,36-40,,16000,,,,,,,
Lion Nyat,Lion Nyat,4,,F,,36-40,,15000,,,,,,,
PNY Pan Phyu,PNY Pan Phyu,10,,F,,41-45,,8000,,,,,,,
PNY Pan Color,PNY Pan Color,10,,F,,41-45,,8000,,,,,,,
MP996,Fila Nyat,6,,F,,36-40,,13500,,,,,,,
5610,Dr Mardini,7,,M,,39-44,,48000,,,,,,,
886A4,Martine,6,,M,,39-44,,48000,,,,,,,
Speed Car,Speed Car,5,,F+M,,S-LL,,8500,,,,,,,
Top One Zaka,Top One Zaka,53,,K,,5-8.5,,4500,,,,,,,
PPP,PPP,40,,F+M,,9-10.5,,3500,,,,,,,
Sin Yine Zaka,Sin Yine Zaka,17,,K,,7-8.5,,6500,,,,,,,
Mi Star,Mi Star,12,,F+M,,7-8.5,,3500,,,,,,,
Top One Zaka Bu,Top One Zaka Bu,13,,K,,7-8.5,,4500,,,,,,,
Pyaung Phuu Zaka,Pyaung Phuu Zaka,10,,K,,7-8.5,,4500,,,,,,,
Kyar Phyu Zaka,Kyar Phyu Zaka,24,,K,,7-8.5,,4500,,,,,,,
New Star Ma,New Star Ma,12,,F,,35-39,,3500,,,,,,,
Sisco Ma,Sisco Ma,12,,F,,35-39,,4500,,,,,,,
PPP Kalay Zaka,PPP Kalay Zaka,13,,K,,5-8.5,,4500,,,,,,,
Myin Yine Kalay,Myin Yine Kalay,6,,K,,5-6.5,,4500,,,,,,,
Horse Daut,Horse Daut,1,,F,,36-40,,15000,,,,,,,
Marco Phan Daut,Marco Phan Daut,5,,F,,36-40,,15000,,,,,,,
Kyar Pan 9,Kyar Pan 9,51,,F+M,Kyan Mar Yay,9,,15000,,,,,,,
Kyar Pan 9.5,Kyar Pan9.5,7,,F+M,Kyan Mar Yay,9.5,,15000,,,,,,,
Kyar Pan 10,Kyar Pan 10,38,,F+M,Kyan Mar Yay,10,,15000,,,,,,,
Kyar Pan 10.5,Kyar Pan 10.5,17,,F+M,Kyan Mar Yay,10.5,,15000,,,,,,,
Kyar Pan 11,Kyar Pan 11,29,,F+M,Kyan Mar Yay,11,,15000,,,,,,,
Myin Kyel 9,Myin Kyel 9,9,,F+M,Kyan Mar Yay,9,,13500,,,,,,,
Myin Kyel 9.5,Myin Kyel 9.5,20,,F+M,Kyan Mar Yay,9.5,,13500,,,,,,,
Myin Kyel 10,Myin Kyel 10,9,,F+M,Kyan Mar Yay,10,,13500,,,,,,,
Myin Kyel 10.5,Myin Kyel 10.5,12,,F+M,Kyan Mar Yay,10.5,,13500,,,,,,,
Myin Kyel 11,Myin Kyel 11,10,,F+M,Kyan Mar Yay,11,,13500,,,,,,,
Kyar Phyu,Kyar Phyu,114,,F+M,Kyan Mar Yay,11-Sep,,8000,,,,,,,
Late Kyel,Late Kyel,17,,F+M,Kyan Mar Yay,11-Sep,,13500,,,,,,,
Myin Yine ,Myin Yine,31,,F+M,Kyan Mar Yay,11-Sep,,13500,,,,,,,
Sin Kyel,Sin Kyel,33,,F+M,Kyan Mar Yay,11-Sep,,22000,,,,,,,
Mi Kyaung Kyel,Mi Kyaung Kyel,1,,F+M,Kyan Mar Yay,9-11(9),,,,,,,,,
88910,Martine Bu,4,,M,,39-44,,38000,,,,,,,
Shoe Mel Discount,Shoe Mel Discount,3,,M,Shoe,39-44,,15000,,,,,,,
Shoe Mel Leather Shay,Shoe Mel Leather Shay,4,,M,Shoe,39-44,,15000,,,,,,,
Wat Win 2tan Kwin,Wat Win 2tan Kwin,4,,F,Kwin,36-40,,8500,,,,,,,
Gold Shine Kwin Pyaung,Gold Shine Kwin Pyaung,4,,F,Daut,36-40,,15500,,,,,,,
Mar Ra Than Daut,Mar Ra Than Daut,4,,F,Daut,36-40,,15000,,,,,,,
AB Slide Kwin,AB Slide Kwin,5,,K,Kwin,30-34,,13000,,,,,,,
Marco Htate Pate,Marco Htate Pate,4,,K,Htate Pate,24-29,,6500,,,,,,,
AB Wat Win Kwin,AB Wat Win Kwin,2,,K,Kwin,24-29,,9500,,,,,,,
2808,Air Htate Pate,3,,K,Htate Pate,24-29,,9500,,,,,,,
99,Sat Kyar Htate Pate,1,,K,Htate Pate,24-29,,9500,,,,,,,
AB Labubu Kwin,AB Labubu Kwin,2,,K,Kwin,24-29,,9500,,,,,,,
1680,Wat Win Kwin,1,,K,Kwin,24-29,,9500,,,,,,,
AB Atont Kwin,AB Atont Kwin,1,,K,Kwin,24-29,,9500,,,,,,,
Yone Wat Win Kwin,Yone Wat Win Kwin,1,,K,Kwin,24-29,,8500,,,,,,,
F05,Frontier Phan Daut,2,,F,Daut,"35-40(39,40)",,28000,,,,,,,
AM248,AM Kwin,1,,F,,35-40(35),,28000,,,,,,,
