Code,Name,Stock,Origin,Gender,Type,Size,Pairs per Bag,Price,Original Price,Total Discount,Color,Gender,Pairs per Bag,Pairs per Box,Supplier
D,Qsweet,6,,F,Daut,"36-41(36,37,38,39,40,41)",6,20000,,,,,,,
D15,Qsweet,5,,F,Daut,"36-41(36,37,39,41)",6,28000,,,,,,,
DK042,Dotika,4,,F,Daut,"35-40(35,37,38,39)",6,32000,,,,,,,
Goody,Goody,1,,F,Daut,35-40(35),6,20000,,,,,,,
Marco Daut Pu,Marco Daut Pu,1,,F,Daut,36-40(37),5,16000,,,,,,,
MD9101,Lily Nyat,4,,F,Daut,"36-41(36,37,38,39)",6,42000,,,,,,,
MD9624,Lily Nyat,2,,F,Daut,"36-40(36,37)",6,39500,,,,,,,
MMI11,Mascot CNyat,1,,F,Daut,36-40(38),6,33000,,,,,,,
MM007,Mascot Kwin,5,,F,Daut,"35-39(35x2,36,37,38)",6,38000,,,,,,,
MM1081,Mascot Nyat Par,1,,F,Nyat,35-40(36),6,33500,,,,,,,
MM1083,Mascot Nyat Par,1,,F,Nyat,36-40(36),6,35000,,,,,,,
MM1450,Mascot Nyat,1,,F,Daut,36-41(38),6,32000,,,,,,,
MM1459,Mascot Nyat Par,3,,F,Nyat,"36-41(39,40x2)",6,32000,,,,,,,
MM1464,Mascot Nyat,3,,F,Daut ,"36-41(37x2,38)",6,33000,,,,,,,
MM1479,Mascot CKwin,3,,F,Daut ,"36-40(36,37,38)",6,35000,,,,,,,
MM2503,Mascot Kwin,5,,F,Daut ,"36-40(36,37x4,38)",6,35000,,,,,,,
MM2603,Mascot Nyat,7,,F,Daut,"36-40(36,37,39x2,40x3)",6,32000,,,,,,,
MM2612,Mascot Nyat,1,,F,Daut,36-41(37),6,33000,,,,,,,
MM2614,Mascot Nyat,2,,F,Daut,"36-40(36,37,38)",6,34000,,,,,,,
MM2615,Mascot Nyat Par,2,,F,Nyat,"36-41(36,37)",6,34000,,,,,,,
MM2902,Mascot Nyat,2,,F,Nyat,"36-41(36,37)",6,33000,,,,,,,
MM2903,Mascot Nyat,0,,F,Nyat,36-41(37),6,36000,,,,,,,
MM2904,Mascot Nyat,5,,F,Nyat,"36-40(36,37,38,39,40)",6,34000,,,,,,,
MM2907,Mascot CKwin,5,,F,Ckwin,"36-40(36,37,38,39,40)",6,36000,,,,,,,
MM2908,Mascot Nyat,5,,F,,"36-41(36,37,38,39,40)",6,35000,,,,,,,
MM9239,Mascot Nyat,3,,F,,"36-41(36,37x2)",6,33000,,,,,,,
MM9241,Mascot Nyat,5,,F,,"36-41(36,37x2,38,39)",6,34000,,,,,,,
MM9706,Mascot Kwin,9,,F,,"36-41(36x2,37x4,38x2,39)",6,35000,,,,,,,
MM9907,Mascot Nyat Par,2,,F,,36-40(37x2),6,32000,,,,,,,
MM9919,Mascot Kwin,2,,F,,"36-41(36,37)",6,32000,,,,,,,
MM9923,Mascot Nyat Par,1,,F,,36-40(36),6,32000,,,,,,,
MMC30,Mascot Nyat Par,4,,F,,"36-40(36,37,38,39)",6,33000,,,,,,,
MMC32,Mascot CNyat,1,,F,,36-41(36),6,33000,,,,,,,
MMD73,Mascot Nyat,5,,F,,"36-41(36,37,38,39,41)",6,35000,,,,,,,
MMF28,Mascot Kwin,3,,F,,"35-40(35,36,37)",6,36000,,,,,,,
MMF43,Mascot Kwin,5,,F,,"35-40(35,36,37,38,39)",6,37000,,,,,,,
MMH13,Mascot Nyat,3,,F,,"36-40(36,37,38)",6,33000,,,,,,,
MMI08,Mascot CKwin,2,,F,,"35-40(35,36)",6,34000,,,,,,,
MMI12,Mascot Nyat,5,,F,,"35-40(35,36,37,38,39)",6,34000,,,,,,,
MMJ16,Mascot CKwin,4,,F,,"36-41(36,37,38,39)",6,34000,,,,,,,
MMK11,Mascot Kwin,2,,F,,"35-40(35,36)",6,37000,,,,,,,
MMK12,Mascot Kwin,5,,F,,"35-40(35x2,37x2,38)",6,37000,,,,,,,
MM N07,Mascot Kwin,4,,F,,"35-40(35,36,38,39)",6,37000,,,,,,,
NT,Nilin,1,,F,,36-41(37),6,29000,,,,,,,
NT5501,Nilin,3,,F,,"36-41(36,37,38)",6,29000,,,,,,,
NT557,Nilin,1,,F,,36-41(38),6,29500,,,,,,,
P798,Elisa Nyat,3,,F,,"35-40(35,36,37)",6,36000,,,,,,,
PU061,Berry Nyat Par,15,,F,,"35-40(35x4,36x4,37x3,38x2,39,40)",6,26000,,,,,,,
RC04,Rosita Kwin,1,,F,,36-41(36),6,23000,,,,,,,
RC13,Rosita Kwin,2,,F,,"36-41(36,37)",6,23000,,,,,,,
S025,Spiv,7,,F,,"36-41(36x2,37x2,38x2,39)",6,25000,,,,,,,
S026,Spiv,4,,F,,"36-41(36x2,37x2)",6,25000,,,,,,,
S028,Spiv,2,,F,,"36-41(36,37)",6,25000,,,,,,,
SP012,Spiv,2,,F,,"35-40(35,36)",6,28000,,,,,,,
Super Star Heel,Super Star Heel,7,,F,,"36-40(36x2,38x2,39x2)",5,13500,,,,,,,
TM34A,Marina,4,,F,,"36-40(37x2,38x2)",5,30000,,,,,,,
TM35A,Marina,3,,F,,"36-40(37,38x2)",5,30000,,,,,,,
TM43A,Marina,6,,F,,"36-40(36,37x2,38x2,40)",5,30000,,,,,,,
TM52A,Marina,10,,F,,"36-40(36x3,37,38x3,39x3)",5,30000,,,,,,,
TM55A,Marina,4,,F,,"36-40(36,37,38,39)",5,30000,,,,,,,
4278,Marina,2,,F,,35-40,,24000,,,,,,,
3578602,Mascot,1,,F,,36-40(38),,37000,,,,,,,
74904W1,Adda M,14,,F,,"35-40(35x3,36x3,37,39x2,40)",,29000,,,,,,,
A195,Queen Nyat,3,,F,,36-40,,25000,,,,,,,
B208,Best Nyat,5,,F,,"35-40(35,36,37x2,38)",,22000,,,,,,,
B6413,Legend,3,,F,,"35-40(38,39,40)",,24000,,,,,,,
C301,Best Kwin,1,,F,,35-40(37),,18000,,,,,,,
D055,Legend,9,,F,,35-40,,25000,,,,,,,
D155,Apple,4,,F,,35-40,,24000,,,,,,,
D401,Best Kwin,8,,F,,"35-40(35x3,36,37x4)",,18000,,,,,,,
EM4289,Kito KNyat,10,,F,,"40-44(40x4,41x6)",,39500,,,,,,,
KhaingML Kyothay,KhaingML Kyothay,29,,F,,36-40,,24000,,,,,,,
KhaingML Kyopyar,KhaingML Kyopyar,8,,F,,36-40,,24000,,,,,,,
P327,Neat,4,,F,,"36-41(37,38,39,40)",,20000,,,,,,,
SD11,Lolla Par,2,,F,,"36-41(36,38)",,20000,,,,,,,
SMK104,Dosika,7,,F,,35-40,,25000,,,,,,,
D207,Marina,7,,F,,35-40,,24000,,,,,,,
CLO3703,Penne,2,,F,,"35-40(37,38)",,22000,,,,,,,
RCM888942,Tripper,3,,F,,"35-40(36,38x2)",,36000,,,,,,,
RW61636,Tripper,1,,F,,37,,36000,,,,,,,
Mercedes,Mercedes,3,,F,,41-46,,13000,,,,,,,
Zelo,Zelo,5,,F,,46-47,,14000,,,,,,,
Dapper1,Dapper1,10,,M,,40-44,,11000,,,,,,,
Dapper2,Dapper2,11,,M,,40-44,,13000,,,,,,,
Dapper3,Dapper3,1,,M,,45-47(46),,11000,,,,,,,
Dapper4,Dapper4,22,,M,,40-44,,9000,,,,,,,
Dapper5 Ckwin,Dapper5 Ckwin,5,,M,,40-44,,14500,,,,,,,
Dapper6,Dapper6,10,,K,,6_10,,7500,,,,,,,
Dapper7 Ryne,Dapper7 Ryne,7,,K,,35-39,,8000,,,,,,,
Dapper8 Kalay,Dapper8 Kalay,8,,K,,22-26,,7000,,,,,,,
Dapper8 Zaka,Dapper8 Zaka,9,,K,,27-31,,7500,,,,,,,
Diesel,Diesel,3,,K,,1_5,,5500,,,,,,,
Dapper9 Zaka,Dapper9 Zaka,1,,K,,30-34,,5500,,,,,,,
Dapper9 Bata,Dapper9 Bata,2,,K,,35-39,,6500,,,,,,,
Levi Bata,Levi Bata,3,,K,,35-39,,11500,,,,,,,
Harley,Harley,6,,K,,6_10,,11000,,,,,,,
Rider Kyothay,Rider Kyothay,10,,M,,40-44,,13000,,,,,,,
JJ,JJ,14,,M,,40-44,,18000,,,,,,,
668,KML,7,,M,,40-45,,15000,,,,,,,
SM Kyothay,SM Kyothay,15,,M,,40-45,,26000,,,,,,,
SM Kyopyar,SM Kyopyar,12,,M,,40-45,,25000,,,,,,,
Adidas Kyarpot,Adidas Kyarpot,5,,M,,40-45,,8000,,,,,,,
Crazysurf,Crazysurf,11,,M,,39-44,,12000,,,,,,,
Thamin,Thamin,7,,M,,39-44,,12000,,,,,,,
8119,4G Kyar,5,,M,,39-44,,12000,,,,,,,
Walkaroo,Walkaro,3,,M,,5_9,,12500,,,,,,,
9119,9119,9,,M,,40-44,,8000,,,,,,,
Rider Kyopyarnew,Rider Kyopyarnew,6,,M,Nyat,39-44,,14000,,,,,,,
Sinpone Nyat,Sinpone Nyat,4,,M,Nyat,40-44,,10000,,,,,,,
Thai Style,Thai Style,10,,M,Nyat,40-44,,19000,,,,,,,
All Sky,All Sky,2,,M,,40-44,,12000,,,,,,,
Gambol Kyar,Gambol Kyar,12,,M,Nyat,39-44,,7500,,,,,,,
SM Kyothaynew,SM Kyothaynew,7,,M,Nyat,39-45,,27000,,,,,,,
IP Par Pyaung,IP Par Pyaung,49,,F,Nyat,36-40,,11000,,,,,,,
IP Pan,IP Pan,35,,F,Nyat,36-40,,11000,,,,,,,
Ridar Snail,Rider Snail,40,,F,Nyat,36-40,,11000,,,,,,,
IP Htu,IP Htu,20,,F,Nyat,36-40,,14000,,,,,,,
Rider Htu,Rider Htu,14,,F,Nyat,36-40,,14000,,,,,,,
IP 1901,IP Chun,14,,F,Nyat,36-40,,11000,,,,,,,
6238,Luofu 2tan,2,,M,,39-44,,37000,,,,,,,
Rider 2301,Rider Bird,13,,F,Nyat,35-39,,11000,,,,,,,
Msmile,Msmile,19,,F,Nyat,36-40,,28000,,,,,,,
7169,Luofo Kwin,4,,F,Kwin,36-40,,18000,,,,,,,
1786,Luofo Nyat,6,,F,Nyat,36-40,,16000,,,,,,,
8089,Fashion CKwin,4,,F,CKwin,36-40,,13000,,,,,,,
Ryne CNyat,Ryne CNyat,7,,F,Cnyat,5_9,,12000,,,,,,,
Lucky4,Lucky4,8,,F+M,Velvet,8_12,,9500,,,,,,,
KhaingMyae,KhaingMyae,3,,F,Velvet,35-39,,8000,,,,,,,
Dapper10,Dapper10,6,,F,Dapper,35-39,,5500,,,,,,,
Super KyautNyatPar,Super KyautNyatPar,18,,F,Velvet,5_9,,10000,,,,,,,
Super KyautNyatHtu,Super KyautNyatHtu,15,,F,Velvet,5_9,,8500,,,,,,,
Super SanKyitHtu,Super SanKyitHtu,7,,F,Velvet,5_9,,7500,,,,,,,
Dolay A,Dolay A,19,,F,,5_9,,10000,,,,,,,
Dolay MyatMan,Dolay MyatMan,13,,F,,5_9,,12000,,,,,,,
Super Yoya,Super Yoya,5,,F,,5_9,,7500,,,,,,,
Dolay KyautNyat,DolayKyautNyat,5,,F,Nyat,5_9,,7500,,,,,,,
May,May,4,,F,Velvet,5_9,,14000,,,,,,,
Khin,Khin,1,,F,Velvet,5_9,,10000,,,,,,,
Super ThaeKyiDaut,Super ThaeKyiDaut,20,,F,Velvet Htu,5_9,,13000,,,,,,,
Super KwarThoneSint,Super KwarThoneSint,8,,F,Velvet Htu,5_9,,7500,,,,,,,
Shanklit Ma,Shanklit Ma,15,,F,Velvet,5_9,,12000,,,,,,,
Shanpar PoneMan,Shanpar PoneMan,15,,F,Velvet,5_9,,7000,,,,,,,
Shanpar Over Ma,Shanpar Over Ma,5,,F,Velvet,10_13,,7500,,,,,,,
Soul Kyar PoneMan,Soul KyarPoneMan,9,,F,Velvet,7_12,,8500,,,,,,,
Sane Bell,Sane Bell,3,,F+M,Velvet,5_9,,7500,,,,,,,
Sogolite Zaka Htu,Sogolite Zaka Htu,30,,KF,Nyat Htu,5_6,,17500,,,,,,,
Sogolite Ma Par,Sogolite Ma Par,20,,F,Nyat,4_8,,12000,,,,,,,
Sogolite Ma Htu,Sogolite Ma Htu,10,,F,Nyat Htu,4_8,,18000,,,,,,,
AAJ,AAJ,7,,KF,,"0,1_5,31_35",,11500,,,,,,,
Gold Fish Daut Kalay,Gold Fish Daut Kalay,6,,KF,,"0,1_5,31_35",,6500,,,,,,,
Kaung Kin Thit 2line,Kaung Kin Thit 2line,4,,KF,,"0,1_5,31_35",,9000,,,,,,,
Kaung Kin Thit Ckwin,Kaung Kin Thit Ckwin,25,,KF,,"0,1_5,31_35",,9000,,,,,,,
Kaung Kin Thit Moesat,Kaung Kin Thit Moesat,12,,KF,,"0,1_5,31_35",,9000,,,,,,,
KK Star Bata KwinNyat,KK Star Bata KwinNyat,15,,KF,,"0,1_5,31_35",,12000,,,,,,,
KK Star Kwin,KK Star Kwin,15,,KF,,"0,1_5,31_35",,7500,,,,,,,
KK Star KwinNyat,KK Star KwinNyat,9,,KF,,"0,1_5,31_35",,7500,,,,,,,
KK Star Kyopyar,KK Star Kyopyar,5,,KF,,"0,1_5,31_35",,7500,,,,,,,
KK Star Pan,KK Star Pan,23,,KF,,"0,1_5,31_35",,7500,,,,,,,
Model Girl,Model Girl,5,,KF,,"0,1_5,31_35",,6500,,,,,,,
One Daut A,One Daut A,1,,KF,,"0,1_5,31_35",,11000,,,,,,,
One Daut Moesat,One Daut Nyat,12,,KF,,"0,1_5,31_35",,9500,,,,,,,
One Daut Nyat,One Daut Nyat,10,,KF,,"0,1_5,31_35",,9500,,,,,,,
One Daut Phel,One Daut Phel,4,,KF,,"0,1_5,31_35",,9500,,,,,,,
Thit Khwa,Thit Khwa,8,,KF,,"0,1_5,31_35",,6000,,,,,,,
11,Kway  Kwin,10,,K,,30-35,,8500,,,,,,,
60,Meelin Nyat,6,,K,,30-35,,9500,,,,,,,
